Date,Open,High,Low,Close,Adj Close,Volume
2008-03-19,14.875,17.25,13.75,14.125,12.901474952697754,708486000
2008-03-20,14.600000381469727,16.25,14.375,16.087499618530273,14.693976402282715,198985200
2008-03-24,16.809999465942383,16.924999237060547,14.75,14.932499885559082,13.639025688171387,149566400
2008-03-25,15.145000457763672,16.0625,14.954999923706055,15.8125,14.442797660827637,87092000
2008-03-26,15.682499885559082,16.1200008392334,15.392499923706055,15.989999771118164,14.604924201965332,43111600
2008-03-27,16.012500762939453,16.184999465942383,15.662500381469727,15.727499961853027,14.365161895751953,39829600
2008-03-28,15.842499732971191,15.859999656677246,15.539999961853027,15.6899995803833,14.330909729003906,24675200
2008-03-31,15.649999618530273,15.869999885559082,15.512499809265137,15.59000015258789,14.239575386047363,22157200
2008-04-01,15.765000343322754,15.920000076293945,15.077500343322754,15.40250015258789,14.068309783935547,60410800
2008-04-02,15.430000305175781,15.579999923706055,15.125,15.579999923706055,14.230437278747559,43836400
2008-04-03,15.487500190734863,16.572500228881836,15.454999923706055,16.375,14.956574440002441,100868000
2008-04-04,16.225000381469727,16.329999923706055,15.9375,16.1200008392334,14.723663330078125,36394400
2008-04-07,16.274999618530273,16.450000762939453,16.0049991607666,16.260000228881836,14.851536750793457,28301600
2008-04-08,16.225000381469727,17.059999465942383,16.202499389648438,17.022499084472656,15.547986030578613,53925600
2008-04-09,17.110000610351562,17.18000030517578,16.40250015258789,16.447500228881836,15.022795677185059,48324400
2008-04-10,16.540000915527344,16.6825008392334,16.27750015258789,16.52750015258789,15.095868110656738,22372000
2008-04-11,16.3125,16.6924991607666,16.3125,16.52750015258789,15.095868110656738,26421600
2008-04-14,16.674999237060547,16.809999465942383,16.38249969482422,16.420000076293945,14.99767780303955,28443600
2008-04-15,16.572500228881836,16.637500762939453,16.0,16.087499618530273,14.693976402282715,23888000
2008-04-16,16.139999389648438,16.737499237060547,16.139999389648438,16.53499984741211,15.102721214294434,25136800
2008-04-17,16.565000534057617,16.9375,16.502500534057617,16.760000228881836,15.308222770690918,22459600
2008-04-18,17.002500534057617,17.612499237060547,16.799999237060547,17.25,15.755786895751953,104099600
2008-04-21,17.3700008392334,18.125,17.212499618530273,17.74250030517578,16.20561408996582,58848000
2008-04-22,17.979999542236328,18.100000381469727,17.5,17.56999969482422,16.048059463500977,47357600
2008-04-23,17.737499237060547,17.924999237060547,17.422500610351562,17.520000457763672,16.002397537231445,37319600
2008-04-24,17.799999237060547,18.247499465942383,17.510000228881836,18.075000762939453,16.509323120117188,38086800
2008-04-25,19.0,19.020000457763672,18.477500915527344,18.774999618530273,17.148685455322266,101460000
2008-04-28,19.125,19.322500228881836,18.725000381469727,18.907499313354492,17.269710540771484,132517200
2008-04-29,18.537500381469727,20.219999313354492,17.75,20.219999313354492,18.46851348876953,197308400
2008-04-30,20.350000381469727,21.202499389648438,20.267499923706055,20.862499237060547,19.055360794067383,147543600
2008-05-01,21.09749984741211,21.90999984741211,20.975000381469727,21.350000381469727,19.50063133239746,116395600
2008-05-02,21.822500228881836,21.875,20.25,20.6875,18.895511627197266,136648800
2008-05-05,20.712499618530273,21.375,20.204999923706055,21.264999389648438,19.422996520996094,70377200
2008-05-06,21.36750030517578,22.037500381469727,21.1875,21.88249969482422,19.98700523376465,75913200
2008-05-07,22.207500457763672,22.459999084472656,21.915000915527344,22.125,20.2085018157959,100464800
2008-05-08,22.375,22.4375,21.485000610351562,21.825000762939453,19.934486389160156,92836400
2008-05-09,21.452499389648438,21.667499542236328,20.6299991607666,20.71500015258789,18.92064094543457,94312000
2008-05-12,20.912500381469727,21.1200008392334,19.524999618530273,20.475000381469727,18.70142364501953,147471600
2008-05-13,20.457500457763672,20.875,20.197500228881836,20.594999313354492,18.81103515625,53249600
2008-05-14,20.825000762939453,21.087499618530273,20.362499237060547,20.5575008392334,18.77678108215332,51400400
2008-05-15,20.63249969482422,20.732500076293945,20.27750015258789,20.5625,18.781347274780273,36688800
2008-05-16,20.677499771118164,20.712499618530273,20.315000534057617,20.592500686645508,18.80875015258789,34066800
2008-05-19,20.5674991607666,21.184999465942383,20.537500381469727,20.829999923706055,19.025680541992188,45473200
2008-05-20,20.719999313354492,20.959999084472656,20.477500915527344,20.684999465942383,18.893238067626953,40702000
2008-05-21,20.670000076293945,20.857500076293945,20.1299991607666,20.212499618530273,18.4616641998291,41831600
2008-05-22,20.142499923706055,20.149999618530273,19.040000915527344,19.327499389648438,17.653322219848633,85283600
2008-05-23,18.959999084472656,19.327499389648438,18.780000686645508,19.087499618530273,17.434118270874023,42196400
2008-05-27,19.229999542236328,19.735000610351562,18.59000015258789,19.684999465942383,17.979854583740234,62776400
2008-05-28,20.072500228881836,20.487499237060547,19.887500762939453,20.479999542236328,18.705995559692383,52996000
2008-05-29,20.857500076293945,21.737499237060547,20.752500534057617,21.3125,19.46638298034668,100613200
2008-05-30,21.5049991607666,21.889999389648438,21.452499389648438,21.59000015258789,19.719837188720703,72016000
2008-06-02,21.552499771118164,21.737499237060547,21.149999618530273,21.517499923706055,19.653621673583984,36856000
2008-06-03,21.752500534057617,21.987499237060547,21.50749969482422,21.889999389648438,19.993854522705078,48411600
2008-06-04,21.770000457763672,22.024999618530273,21.31999969482422,21.3700008392334,19.518905639648438,40684400
2008-06-05,21.614999771118164,21.809999465942383,21.397499084472656,21.809999465942383,19.920787811279297,27059600
2008-06-06,21.475000381469727,21.497499465942383,20.887500762939453,20.912500381469727,19.101030349731445,41748000
2008-06-09,21.0,21.237499237060547,20.139999389648438,20.53499984741211,18.756227493286133,45240000
2008-06-10,20.075000762939453,20.717500686645508,19.90250015258789,20.077499389648438,18.338356018066406,36048400
2008-06-11,20.25,20.25,19.399999618530273,19.434999465942383,17.751506805419922,56996400
2008-06-12,19.737499237060547,20.1924991607666,19.637500762939453,19.889999389648438,18.167102813720703,44605600
2008-06-13,20.065000534057617,20.452499389648438,20.037500381469727,20.38249969482422,18.616933822631836,30689200
2008-06-16,20.3700008392334,20.875,20.274999618530273,20.8174991607666,19.014253616333008,34384000
2008-06-17,21.024999618530273,21.2450008392334,20.920000076293945,21.167499542236328,19.333925247192383,33277600
2008-06-18,20.93000030517578,21.174999237060547,20.860000610351562,20.96500015258789,19.148983001708984,33724000
2008-06-19,20.8700008392334,21.100000381469727,20.405000686645508,21.0674991607666,19.242603302001953,36925200
2008-06-20,20.74250030517578,21.125,20.6875,20.892499923706055,19.082759857177734,42546800
2008-06-23,20.962499618530273,21.087499618530273,20.2549991607666,20.264999389648438,18.509614944458008,30141200
2008-06-24,20.014999389648438,20.735000610351562,19.627500534057617,20.665000915527344,18.87497329711914,49891200
2008-06-25,20.84000015258789,21.104999542236328,20.46500015258789,20.514999389648438,18.737964630126953,50711600
2008-06-26,20.149999618530273,20.184999465942383,19.5049991607666,19.774999618530273,18.062057495117188,76562800
2008-06-27,19.700000762939453,20.717500686645508,19.637500762939453,20.649999618530273,18.861268997192383,176022800
2008-06-30,20.502500534057617,20.709999084472656,20.075000762939453,20.327499389648438,18.56670379638672,49301200
2008-07-01,19.90999984741211,20.352500915527344,19.799999237060547,20.352500915527344,18.58953857421875,44921600
2008-07-02,20.475000381469727,20.600000381469727,19.825000762939453,19.854999542236328,18.135128021240234,33804000
2008-07-03,19.84000015258789,19.952499389648438,19.3125,19.517499923706055,17.826862335205078,28738800
2008-07-07,19.625,19.985000610351562,18.5,18.905000686645508,17.267425537109375,79944400
2008-07-08,18.72249984741211,19.875,18.0625,19.764999389648438,18.052928924560547,95796400
2008-07-09,19.75,19.774999618530273,18.850000381469727,18.967500686645508,17.324501037597656,55322000
2008-07-10,18.940000534057617,19.405000686645508,18.47249984741211,19.3125,17.639625549316406,52812000
2008-07-11,18.899999618530273,19.362499237060547,18.5,18.637500762939453,17.02309226989746,54645200
2008-07-14,19.022499084472656,19.045000076293945,18.125,18.145000457763672,16.57325553894043,42679600
2008-07-15,17.815000534057617,17.827499389648438,16.822500228881836,17.104999542236328,15.62334156036377,84268800
2008-07-16,17.082500457763672,18.139999389648438,16.627500534057617,18.0575008392334,16.493331909179688,92448800
2008-07-17,18.424999237060547,18.764999389648438,17.837499618530273,18.764999389648438,17.13954734802246,67268800
2008-07-18,18.559999465942383,18.622499465942383,18.030000686645508,18.350000381469727,16.760494232177734,46632000
2008-07-21,18.477500915527344,18.735000610351562,17.892499923706055,17.975000381469727,16.417980194091797,52937200
2008-07-22,17.399999618530273,18.5575008392334,16.975000381469727,18.512500762939453,16.90892219543457,65408000
2008-07-23,18.375,18.75,18.149999618530273,18.3125,16.726247787475586,49942800
2008-07-24,18.229999542236328,18.4325008392334,17.489999771118164,17.520000457763672,16.002397537231445,36625600
2008-07-25,17.635000228881836,18.087499618530273,17.267499923706055,17.989999771118164,16.43167495727539,38690800
2008-07-28,18.102500915527344,18.399999618530273,17.5625,17.637500762939453,16.109712600708008,35699200
